y,mmdd,h,kp,R,DST-Index,f10.7_index,AE-index,AL-index,AU-index,d,date
2003,-11-15,00:00:00,30,41,-26,95.6,211,-126,85,2003-11-15,2003-11-15 00:00:00
2003,-11-15,01:00:00,30,41,-18,95.6,143,-63,80,2003-11-15,2003-11-15 01:00:00
2003,-11-15,02:00:00,30,41,-19,95.6,260,-162,98,2003-11-15,2003-11-15 02:00:00
2003,-11-15,03:00:00,40,41,-19,95.6,445,-331,114,2003-11-15,2003-11-15 03:00:00
2003,-11-15,04:00:00,40,41,-25,95.6,430,-315,116,2003-11-15,2003-11-15 04:00:00
2003,-11-15,05:00:00,40,41,-26,95.6,232,-146,86,2003-11-15,2003-11-15 05:00:00
2003,-11-15,06:00:00,60,41,-17,95.6,922,-673,250,2003-11-15,2003-11-15 06:00:00
2003,-11-15,07:00:00,60,41,-37,95.6,783,-558,225,2003-11-15,2003-11-15 07:00:00
2003,-11-15,08:00:00,60,41,-34,95.6,1137,-725,412,2003-11-15,2003-11-15 08:00:00
2003,-11-15,09:00:00,47,41,-46,95.6,572,-389,184,2003-11-15,2003-11-15 09:00:00
2003,-11-15,10:00:00,47,41,-39,95.6,373,-227,146,2003-11-15,2003-11-15 10:00:00
2003,-11-15,11:00:00,47,41,-37,95.6,685,-525,160,2003-11-15,2003-11-15 11:00:00
2003,-11-15,12:00:00,50,41,-50,95.6,594,-463,130,2003-11-15,2003-11-15 12:00:00
2003,-11-15,13:00:00,50,41,-48,95.6,782,-576,207,2003-11-15,2003-11-15 13:00:00
2003,-11-15,14:00:00,50,41,-46,95.6,931,-628,303,2003-11-15,2003-11-15 14:00:00
2003,-11-15,15:00:00,53,41,-43,95.6,782,-551,231,2003-11-15,2003-11-15 15:00:00
2003,-11-15,16:00:00,53,41,-49,95.6,1048,-812,236,2003-11-15,2003-11-15 16:00:00
2003,-11-15,17:00:00,53,41,-43,95.6,797,-609,188,2003-11-15,2003-11-15 17:00:00
2003,-11-15,18:00:00,43,41,-43,95.6,566,-364,202,2003-11-15,2003-11-15 18:00:00
2003,-11-15,19:00:00,43,41,-44,95.6,506,-307,199,2003-11-15,2003-11-15 19:00:00
2003,-11-15,20:00:00,43,41,-40,95.6,600,-434,166,2003-11-15,2003-11-15 20:00:00
2003,-11-15,21:00:00,40,41,-40,95.6,431,-298,134,2003-11-15,2003-11-15 21:00:00
2003,-11-15,22:00:00,40,41,-42,95.6,476,-286,190,2003-11-15,2003-11-15 22:00:00
2003,-11-15,23:00:00,40,41,-34,95.6,683,-424,259,2003-11-15,2003-11-15 23:00:00
